,Gene,Nr2c1,Zbtb3,Rad21,Tal1,Atf1,Smc3,Creb3,Tbp,Mxd1,Mxd4,Ctcfl,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Zfp42,Esx1,Hoxd8,Hoxa4,Fev,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
32,Nol4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.533417168332523,0.0,0.0,0.0,0.0,0.0,0.0,0.3832035195595542,-60.68150544481124,0.39565014795940473,0.0,0.0,-72.46899167658667,-87.44687903635466,-36.152808205160255
33,Tmem225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.86183418916954,0.0,0.0,-159.13169305967284,0.0,0.0,-381.5793028358831,-364.000944652132,-436.89553283193374
34,Prss21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.463689475571073,0.0,0.0,0.0,0.0,0.0
35,Vwa5b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.897923672880378,0.0,0.0,0.0,0.0,0.0,5.712303310373556,0.0,0.0,-20.99811896300854,-5.156441714217262,-25.99204189084074
36,Hdac2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Gm4922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.179775374448784,-23.893021395620373,0.0
38,Atf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Syce1,0.0,0.0,0.0,0.0,0.0,-761.1428474661477,0.0,0.0,0.0,0.0,4.783064425681957,101.94994948337109,0.0,0.0,-661.0065053917104,0.0,-3.0778299297303517,-40.33803078584004,0.0,-272.18954365421314,-175.57842486663827,-131.69308120289742,-28.414124679220105,-71.3175093330404,-98.91725864184987,-151.4792792073785
40,Zbtb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Pih1d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.082630990308295,0.0,0.0,0.0,40.96812867038485,0.0
42,Slc9a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8062532754860894,0.0,0.0,0.0,0.0,0.0
43,Gsg1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.9674660198993,0.0,2212.1948016216115,0.0,0.0,-2.4078428492061024,34.025755596432326,-537.3467862127226,0.0,0.0,-132.29049015281305,-2114.659414104783,-130.8532127674398,-1928.600847966378
44,Dlx6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1700003F12Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Art1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260305714944337,0.0,0.0,0.0,0.0,0.0
47,Lrrc27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.80357334609181,0.0,0.0,0.0,0.0,0.0,-2.018447571190108,0.0,0.0,0.0,-65.29645495047177,0.0,0.0,-14.555356415498508,-125.37291990786693,-22.26473566344793
48,4930544D05Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Prr22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.419205014068734,0.0,0.0,0.0,0.0,0.0,0.0,-44.45520359689722,0.0,-296.4753002199828,-73.75194856014187,0.0,0.0,-91.42926082928778,-146.5045883666495,0.0
50,Mesp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Cyct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.8220253754833,0.0,-29.48276117233919,0.0,0.0,-395.61725116605993,12.967772533229944,0.0,0.0,-403.168630870803,-292.23593252957994,0.0
52,1700001L19Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Tssk5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.21953937073986,0.0,0.0,11.04786793970037,-75.56836396833397,0.0
54,Fgd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Tcfl5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Shcbp1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.75981871445082,0.0,0.0,0.0,0.0,0.0
57,Parp11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.071735583608366,0.0
58,1700113H08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Atp6ap1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315.6921638904582,0.0,0.0,0.0,0.0,0.0,0.0
60,Phactr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5602434675645513,0.0,0.0,0.0,0.0,0.0
61,Gata4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Rbmxl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.335458471930507,0.0,0.0,0.0,33.95357585250796,0.0,0.21576701259073144,-3.3130669505295325,0.608949432483106,0.2774510344801842,4.869354901543896,0.0,0.0,-41.28067598606982,-29.395972885134547,-43.1595675673953
63,Rest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Jakmip2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Tmco2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Ccdc65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.306860408462455,0.0,0.0,0.0,-258.9633432130358,0.0,-7.036104513409267,-41.34865810495021,0.0,-283.31067870831777,-58.672505360025205,0.0,0.0,-123.77664510088762,-26.394963795358397,445.693662954311
67,Ptchd3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13829322273396447,0.0,0.0,0.0,0.0,0.0,0.22535412337925562,0.0,0.0,0.0,-1.875433454157887,0.0,0.0,-5.350612056614282,-5.293451919162087,0.0
68,Pnma1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4469172559794776,-0.03321497267513825,0.0,0.0,0.0,0.0,-0.30138736165471725,0.0,0.0,0.0,-0.15048463754991862,0.0,0.0,1.8153091084130446,-2.029232237062095,3.213405576039125
69,Zcchc13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.791021954541993,0.0,0.0,0.0
