,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Mxi1,Mxd4,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxa4,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
59,1700001K19Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Foxo3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Elk3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Arx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Tmem63c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Jakmip2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Blcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4163658324672057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18619894020432304,0.0
66,Rxra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Mrpl54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-634.6148659066955,0.0,0.0
68,Necab3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.616434336605744,0.0
69,Pate2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Prss52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-302.4158116238472,0.0,0.0,0.0,0.0,0.0,-279.6736240478061,0.0,0.0,0.0,-110.09530828224361,-114.8484359939666
71,Bpifa3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.71079189376186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Ddx25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.49063662698845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.85198339727226,0.0
73,1700012B09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
