,Gene,Nr2c1,Zbtb3,Nanog,Pbx4,Npas2,Atf1,Smc3,Creb3,Mxi1,Mybl1,Tbp,Mxd4,Alx1,Crem,Rfx5,Mesp1,Zfp42,Hoxd8,Hoxa4,Fev,Rfx2,Creb3l4,Rfx4
419,Fkbpl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.2994399198565,0.0,0.0,292.1306465868594,0.0,0.0,0.0
420,Dnaic1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.44393430684233,0.0,0.0,0.0
421,Syngr4,0.0,0.0,-2.6502311885462615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.5401989546931,-441.6278504779563,0.0,-1731.902602018733,-80.64744013695889,-517.3518706987596,-2282.2543358994894,-35.010842227124016,0.0,48.74625715165399,-214.45172472658814
422,6820408C15Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,Prr19,0.0,33.78407532955692,0.0,0.0,-79.49724497670289,0.0,61.717116422291106,0.0,0.0,-101.36599014732673,-616.00140374671,0.0,-9.641758571817647,100.57022702207071,62.621337991533665,-1177.1335420921096,-395.52878254359297,137.25494103263827,-628.0524076580798,-165.93633081127408,0.0,100.53177439997047,1.9738821315000192
424,Ybx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-609.5042835829222,-269.6952818777116,0.0,0.0,-96.28995432596876,0.0,52.49912579247459,0.0
425,Gnb1l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.13131206858186,0.0,0.0,-22.68401431985942,0.0,0.0,0.0
426,Bex6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.974735170304765,0.0,0.0,2.424594593688886,0.0,0.0,0.0
427,Cmtm2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5146.614048082439,-784.9697558853007,0.0,0.0,-584.9454362999659,0.0,0.0,0.0
428,Inha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.834362237227754,0.0,0.0,0.4621446161947182,0.0,0.0,0.0
429,Lrrc46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.5026749878634,0.0,0.0,-160.84671053573763,0.0,0.0,0.0
430,Hoxa4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.58872132638095,-52.38724023020898,-12.30943407605095,0.0,-26.74817630184651,0.0,21.791763984310784,-12.940531429910468
431,Lhb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.324990160531986,0.0,0.0,0.0,253.0344874244347,0.0,350.3430189725372,92.71367863958412,0.0,0.0,-40.993731191205804
432,Npas2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.637526227443772,0.0,0.0,0.0
433,Sh3gl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.5950819067966,0.0,0.0,-56.75671194916598,0.0,52.31222504694829,0.0
434,Ttc26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.145358803901992,0.0,0.0,0.0
435,Gsg1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.3011871291479,0.0,2844.2884709856376,0.0,-380.71344850652787,683.5344087644282,0.0,0.0,0.0,0.0
436,Adat3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32359137337321,0.0,0.0,0.0
