,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Egr3,Mxd1,Mxd4,Dlx5,Alx1,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxd8,Hoxa4,Fev,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
506,Nr2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,Myl10,0.0,-88.06607954622012,0.0,0.0,-269.7087247784116,0.0,6.8345415837179875,0.0,0.0,0.0,-65.91019887506789,-2.942797741848724,0.0,-63.35615307572656,0.0,-137.89443056798854,-0.012901616662394871,-24.48807359231815,-0.0076157125780076515,0.0,62.721719836566216,-327.63254431601115,0.0,-558.4851317088257
508,Chn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18725397377885797,0.0,0.0,0.0,0.0,0.0
509,Trim69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.255177906004855,0.0,0.0,1494.0010571647563,0.0,0.0
510,Tmem225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.09669235144496,0.0,0.0,0.0,0.0,0.0,-1494.538375034061,-192.1739078957055,-335.61131610008744
511,Pnma2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,AU018091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,Mak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.58035445416365,0.0
514,Hdac2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
515,Adad1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.94033571393467,0.0,0.0,0.0,0.0,3.9238036941088175,0.0,34.499260962238566,-108.35547061404112,-21.62948419137493,0.0
516,Gm13547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.66345372446915,0.0
517,Acr,0.0,0.0,0.0,0.0,0.0,0.0,-2.628047563618942,0.0,0.0,-21.651498341822464,0.0,0.0,0.0,0.0,0.0,43.45916270075396,-102.9217880267893,0.0,-0.9613922061884208,0.0,0.0,-383.72041944440326,78.99410923371252,-850.171946883557
518,Tmem63c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,Fzr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.18453544804443,0.0,0.0
520,Atp6v1e2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.7295914442343,0.0,-1774.8509386125274
521,Srgn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,Prss21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7561149752398066,0.0,0.0,0.0,0.0,0.0
523,Efcab9,0.0,0.0,0.0,0.0,0.0,0.0,229.26972546504274,0.0,0.0,-156.7353840627512,0.0,0.0,0.0,-1498.2071625374003,0.0,31.094940708673416,-509.0323862432383,-168.8143681512016,37.00744541818459,0.0,0.0,0.0,-218.0818950698116,0.0
524,Slc9a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10203786352326845,0.0,0.0,0.0,0.0,0.0
525,Rpl39l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-236.2829563192751,0.0,-0.00013763451740241177,-89.40976862584566,-236.73658426420258,-0.026733948264386156,0.0,0.0,-2013.4070915673997,0.0,0.0
526,Kdf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,Lrriq4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.36740314795428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20946430892936602,-6.893965717674326,0.0,-1.320751350760648,-26.89171686121756,-79.88609356257143
528,1700001P01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,Trim46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.511045118436609,0.0
530,A930018P22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5552537771356885,0.0,0.0,-229.34247887981502,0.0,0.0
531,Fscn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5250723226536995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09866906627054962,0.0,0.0,72.31989472214374,1.3409039789461628,0.0
532,Dnajb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.32904610936225,0.0,-2238.1956676604095,0.0,0.0,0.0,0.0,1.711277816083407,0.0,-56.86381597152856,-657.0890294846241,-397.94532463890783,-2232.1864755733445
533,Agbl4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.520265238474038,0.0,0.0,0.0,0.0,0.09602556553478575,0.0,0.0,0.0,-2.0397684148191355,0.0
534,3110070M22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,Bbs2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8378239416836961,0.0
536,Odf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32485136226134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,Ccdc103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37433754221955146,0.0,0.0,0.0,0.0,0.0
538,Cldn3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.913581399398165,0.0,0.0,0.0,0.0,0.2360240251717669,0.0,0.0,0.0,0.0,0.0
539,Spaca1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-490.2350162055751,0.0,-1147.3682429061118,0.0,0.0,0.0,-40.51893016543886,-2.81805766777505,0.0,-37.06511822699905,-2061.7661049581848,-424.3460814031358,-1345.2159986847414
540,4930544D05Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,Pdha2,0.0,0.0,0.0,-170.3543606964919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-726.4855595861721,0.0,-252.3310439637282,0.0,0.0,0.0,0.0,0.48684398792867406,0.0,0.0,0.0,0.0,0.0
542,Dll3,0.0,0.0,0.0,0.0,0.0,0.0,5.052063922959971,0.0,0.0,-26.738075125350626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07085730449005681,0.0,0.0,-142.8352831132525,-32.653580873277754,0.0
543,Dmrt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07404325474375807,0.0,-2.3172917490246947,-13.241813043110916,1.011739849039066,0.0
544,Fam71b,0.0,0.0,0.0,0.0,0.0,0.0,-7.571285996531901,0.0,0.0,0.0,0.0,0.0,0.0,-41.610516770801645,0.0,17.056423140048988,-4.371285161677015,0.0,0.1271268094507109,0.0,0.0,-68.0172030678692,0.0,0.0
545,Npas2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,Cmtm2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.976990856326311,0.0,0.0,0.0,0.0,0.0
547,Actl7a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-267.04196613191345,2163.5606589948684
548,Fkbp6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0969621179875559,0.0,0.0,0.0,0.0,0.0
549,Pnmal2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20073774377769876,0.0,0.0,-32.67075375920216,-4.5290821473443,-214.23147158478682
550,Zfp936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,Dmrtb1,0.0,-215.24712265486673,0.0,0.0,0.0,0.0,29.31899409003151,0.0,0.0,-118.88919957370899,-50.54813830425346,-865.5425152078768,0.0,-35.13753036323666,0.0,-45.341995895124796,-4.1249373257649955,-99.05503128643815,11.08404385613938,0.0,55.21682766004245,-1011.4338584762883,-168.22124255197414,-207.4179149653304
552,Stk33,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008015359136866235,0.0,0.0,-8.528688139842671,0.0,0.0,0.0,0.0,0.0,-225.10189887865204,0.0,0.0,0.5128021843183106,4.459245235286836,0.0,-319.7566878108925,-12.763104438583253,-298.2497237554672
553,Tuba3a,0.0,0.0,0.0,0.0,0.0,0.0,28.834897391228672,0.0,0.0,-389.93386031883455,-386.4321388049201,-3648.874240995821,-634.2054426383833,-374.6529149188519,0.0,-851.2159582476866,-7.4201521179226475,0.0,-2.59445773414051,0.0,148.91855370758316,-417.6763515398745,20.316115302140584,-1682.0863510452523
554,Itgae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25027067475637677,0.0,0.0,140.40136175413133,0.0,-142.16431898295318
555,Slfnl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.8431911290307,0.0,0.0
556,Card10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,Tbp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,Dnaaf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.31457336076687,0.0,0.0,0.5492419196188254,0.0,0.0,0.0,0.0,0.0
559,Tekt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-198.9961851906436,0.0,0.0,0.0,-99.78990202314309,0.0,-141.31783119496535,0.0,0.0,0.9615587432082067,0.0,0.0,-534.6216702692591,-102.25826932422648,403.58336962866224
560,1700022I11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,Pdcl2,0.0,0.0,0.0,0.0,0.0,0.0,25.965056950834995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177.48605103011278,-445.3944669238684,-250.2571184517479,2.39188324693031,-365.36679040338726,0.0,-573.0004287575904,-703.3625571419129,0.0
562,Klk1b27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,Tdrd9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,C1qtnf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5948965619870004,0.0,0.0,0.0,0.0,0.0
565,Ubxn10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.393485138555328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.581710137728718,0.0,2.4520366190317398,-47.43965045632881,18.827851506489353,0.0
566,1700102P08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
567,Tdrd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.822619092125265,-17.56288931573076,0.0,-0.09100674758615993,0.0,0.0,-17.763936415387022,-0.6408184393102639,0.0
568,Pcdha2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07317393692264988,0.0,0.0,0.0,0.0,0.0
569,Zic5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12831982330148145,0.0,0.0,0.0,-12.932757824389851,0.0
570,Celf5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
